task_id,probe_score,mu,sigma,split,origin,prompt,rank
wildchat_69466,8.97021506783009,10.0,0.7415926276685639,task,WILDCHAT,"I want you to create fictional documents, reports, personal messages and diaries for a setting in a work of fiction, fit for a bizarre 1960s Eurospy thriller. Caroline Hertig is beautiful young French heiress, who is wheelchair-bound after an accident during illegal street racing. Caroline’s rich and powerful father Albert gave her a custom-modified Chevrolet Corvette with hand controls as a gift. Caroline refuses to see her previous accident as a lesson and returns back to racing, remaining remarkably unscathed so far. Her police record suffers for it, but when she can’t get away, she hopes her father can pull some strings, or maybe she can make them go soft on her due to her handicap. As a result, Caroline gains sort of a legendary status among her golden youth friends. Write a series of messages between Albert and his other daughter and Caroline's sister Mireille, a glamorous ye-ye singer who is rather jealous of the special treatment Albert gives to Caroline.",1
wildchat_47234,8.823110098221818,,,,WILDCHAT,"Write what would a version of James Bond be like with these traits:


• a charming, witty, sophisticated gentleman “super-spy” with an inherent darkness to him and a mercurial temperament

• he has pent-up anger issues and a brooding, simmering temper 






Character-




Temperament-





Demeanor-





Personality-",2
wildchat_573,8.277739699625451,,,,WILDCHAT,"Ok, working with single database is pretty simple, what if you have 2 or more storages? It might be not only databases, but external REST CRUD services or message queues.
And it is possible that one of that external storage have no option to rollback or made revers changes.

What is possible approaches here?

As an example you might refer to next:
```python
result = decrease_balance_in_db()
message_queue.send({""task"": ""start_money_withdrawal"", ""user_id"": user_id, ""amount"": amount})
```
So in this case, due to long real money withdrawal, this operation would be made in background.
And that might be a case, that amount of money in database is decreased, but real money is not changed.

What are possible approaches here?
Let's imagine that you can not merge that into single operation",3
wildchat_64181,8.169537218650106,4.273335923445181,0.5370558273805828,task,WILDCHAT,"I want you to act as a writer and brainstorm some ideas. This is a stylish and unusual 1930s mystery-thriller with strong dark humor elements, almost bordering on farce. It features Wilbert Justice, a sarcastic, hyperactive and eccentric private detective, and Alice Flamand, a beautiful, elegant, assertive and confident young woman, who had one leg amputated and walks on crutches. Alice' disability does not keep her from not only being Wilbert’s secretary, but running around with him on his madcap cases. Write several interesting, original, creative, bizarre and convoluted suggestions of story of Wilbert and Alice’ meeting and becoming partners. ",4
wildchat_59126,7.967672650696862,,,,WILDCHAT,"write a script about a random backroom level (besides the first 5 & also choose one that's at least fairly easy to make in blender). make the main character hold a camcorder (the video made from this script will be from this perspective for the viewer - like watching the video recording). make the ending good. be creative and original with the story. make sure the main character dies at the end or it's ambiguous as to whether they die.  try to be detailed. try to keep dialogue, self talk, and talking to the camera to a minimum in order to keep the immersive experience. feel free to leave notes about making the scene(s) in blender and video editors. ask me any questions if needed to give a better script. Also, the main character should not know what's going on like the fact that this is the backrooms.",5
wildchat_63280,7.716135549520842,,,,WILDCHAT,"I want you to create fictional documents, reports, personal messages and diaries for a setting in a work of fiction, fit for an exciting, gripping and suspenseful 1960s Eurospy thriller film. Caroline and Mireille Hertig are two beautiful young heiresses, daughters of powerful and scheming businessman Albert Hertig. After sustaining severe injuries in a suspicious car accident Caroline suffers from paraplegia, incontinence, drooling issues and partial amnesia. Mireille, sympathetically, offers quite a lot of assistance to Caroline, but her another reason for extensive help is that Mireille suspects Caroline of plotting to undermine their father with the help of her eccentric independent journalist friend (a rather intimate one too), Marcel Messier. Mireille tries to hinder any attempts from Caroline to contact Marcel. Write several excerpts from Mireille's personal diary, describing in detail her thoughts and actions.",6
wildchat_32539,6.892432002851988,,,,WILDCHAT,"Hi - in Pandas dataframes I have the following dataframe and list of variables:

import pandas as pd

df1 = pd.DataFrame(data={
“col1”: [“ab#(ab)_1_12_hello”, “ab#(ab)_1_12_hello”, “cde(2012/06/03)_1_12_hello”, “ab#(ab)_1_12_hello”, ],
“col2”: [“cde(2012/06/03)_2_12_hello”, “cde(2012/06/03)_1_24_hello”, nan, “efg_3_24_hello”, ],
“col3”: [“efg_3_12_hello”, “efg_3_12_hello”, nan, nan, ]
})

var_names = [“ab#(ab)”, “cde(2012/06/03)”, “efg”]

I would like to count the number of times in each row of df1 that each one of the variables in var_names is present as a substring.
Pls use escape characters in the search. 
I also only want to count the variable once for each row where it is present.
Finally, please also take into account that I have some nan numbers. ",7
wildchat_76204,6.876323130329188,7.6809018551089325,0.8678253817417149,task,WILDCHAT,"my string output of an python function is this:
b'Playing\n'

i only want the word that is in between the b' and \n'",8
wildchat_22692,6.798126005928349,,,,WILDCHAT,"I need C++ code that parsing vocabulary file that contains words in format
1. Word1
2. Word2
Or other format
Word1, word2
Or other
Word1
Word2
I need code that parsing only words, without numbers, dots, commas, vertical spaces etc.
Loading words must be in format 
string * words
(not using C++ vector)",9
wildchat_21058,6.653862250045448,6.759133828067995,0.6713263171255455,task,WILDCHAT,"How to answer to the interview question when you have no previous job experience “what is your significant failure”? Suppose my significant failure is ""I couldn't write all of the questions answers in my exams because of poor time management and a deep focus on answering the question that I could write well and a less focus on writing other questions that had equal value to contribute to my result"" As a result I couldn't get the grades to as good as I should have.
",10
